Time (s)	ECG Amplitude
0.000000	-0.145000
0.002778	-0.145000
0.005556	-0.145000
0.008333	-0.145000
0.011111	-0.145000
0.013889	-0.145000
0.016667	-0.145000
0.019444	-0.145000
0.022222	-0.120000
0.025000	-0.135000
0.027778	-0.145000
0.030556	-0.150000
0.033333	-0.160000
0.036111	-0.155000
0.038889	-0.160000
0.041667	-0.175000
0.044444	-0.180000
0.047222	-0.185000
0.050000	-0.170000
0.052778	-0.155000
0.055556	-0.175000
0.058333	-0.180000
0.061111	-0.190000
0.063889	-0.180000
0.066667	-0.155000
0.069444	-0.135000
0.072222	-0.155000
0.075000	-0.190000
0.077778	-0.205000
0.080556	-0.235000
0.083333	-0.225000
0.086111	-0.245000
0.088889	-0.250000
0.091667	-0.260000
0.094444	-0.275000
0.097222	-0.275000
0.100000	-0.275000
0.102778	-0.265000
0.105556	-0.255000
0.108333	-0.265000
0.111111	-0.275000
0.113889	-0.290000
0.116667	-0.290000
0.119444	-0.290000
0.122222	-0.290000
0.125000	-0.285000
0.127778	-0.295000
0.130556	-0.305000
0.133333	-0.285000
0.136111	-0.275000
0.138889	-0.275000
0.141667	-0.280000
0.144444	-0.285000
0.147222	-0.305000
0.150000	-0.290000
0.152778	-0.300000
0.155556	-0.280000
0.158333	-0.290000
0.161111	-0.300000
0.163889	-0.315000
0.166667	-0.320000
0.169444	-0.335000
0.172222	-0.360000
0.175000	-0.385000
0.177778	-0.385000
0.180556	-0.405000
0.183333	-0.455000
0.186111	-0.485000
0.188889	-0.485000
0.191667	-0.425000
0.194444	-0.330000
0.197222	-0.220000
0.200000	-0.070000
0.202778	0.120000
0.205556	0.375000
0.208333	0.620000
0.211111	0.780000
0.213889	0.840000
0.216667	0.765000
0.219444	0.520000
0.222222	0.170000
0.225000	-0.165000
0.227778	-0.365000
0.230556	-0.435000
0.233333	-0.425000
0.236111	-0.370000
0.238889	-0.330000
0.241667	-0.325000
0.244444	-0.335000
0.247222	-0.345000
0.250000	-0.330000
0.252778	-0.325000
0.255556	-0.315000
0.258333	-0.310000
0.261111	-0.320000
0.263889	-0.335000
0.266667	-0.340000
0.269444	-0.325000
0.272222	-0.345000
0.275000	-0.335000
0.277778	-0.330000
0.280556	-0.335000
0.283333	-0.330000
0.286111	-0.325000
0.288889	-0.330000
0.291667	-0.330000
0.294444	-0.345000
0.297222	-0.355000
0.300000	-0.335000
0.302778	-0.325000
0.305556	-0.305000
0.308333	-0.320000
0.311111	-0.320000
0.313889	-0.330000
0.316667	-0.340000
0.319444	-0.335000
0.322222	-0.340000
0.325000	-0.345000
0.327778	-0.355000
0.330556	-0.355000
0.333333	-0.340000
0.336111	-0.330000
0.338889	-0.330000
0.341667	-0.330000
0.344444	-0.340000
0.347222	-0.350000
0.350000	-0.325000
0.352778	-0.325000
0.355556	-0.330000
0.358333	-0.330000
0.361111	-0.335000
0.363889	-0.335000
0.366667	-0.340000
0.369444	-0.330000
0.372222	-0.340000
0.375000	-0.350000
0.377778	-0.355000
0.380556	-0.350000
0.383333	-0.345000
0.386111	-0.330000
0.388889	-0.320000
0.391667	-0.335000
0.394444	-0.330000
0.397222	-0.345000
0.400000	-0.330000
0.402778	-0.335000
0.405556	-0.335000
0.408333	-0.345000
0.411111	-0.345000
0.413889	-0.355000
0.416667	-0.340000
0.419444	-0.340000
0.422222	-0.335000
0.425000	-0.330000
0.427778	-0.350000
0.430556	-0.350000
0.433333	-0.345000
0.436111	-0.335000
0.438889	-0.335000
0.441667	-0.335000
0.444444	-0.350000
0.447222	-0.355000
0.450000	-0.355000
0.452778	-0.345000
0.455556	-0.345000
0.458333	-0.335000
0.461111	-0.350000
0.463889	-0.360000
0.466667	-0.360000
0.469444	-0.360000
0.472222	-0.365000
0.475000	-0.360000
0.477778	-0.370000
0.480556	-0.385000
0.483333	-0.370000
0.486111	-0.360000
0.488889	-0.355000
0.491667	-0.360000
0.494444	-0.375000
0.497222	-0.375000
0.500000	-0.365000
0.502778	-0.365000
0.505556	-0.360000
0.508333	-0.360000
0.511111	-0.365000
0.513889	-0.370000
0.516667	-0.355000
0.519444	-0.330000
0.522222	-0.325000
0.525000	-0.325000
0.527778	-0.335000
0.530556	-0.340000
0.533333	-0.315000
0.536111	-0.300000
0.538889	-0.300000
0.541667	-0.290000
0.544444	-0.295000
0.547222	-0.290000
0.550000	-0.285000
0.552778	-0.275000
0.555556	-0.255000
0.558333	-0.250000
0.561111	-0.250000
0.563889	-0.265000
0.566667	-0.255000
0.569444	-0.245000
0.572222	-0.230000
0.575000	-0.245000
0.577778	-0.245000
0.580556	-0.255000
0.583333	-0.255000
0.586111	-0.240000
0.588889	-0.250000
0.591667	-0.255000
0.594444	-0.245000
0.597222	-0.255000
0.600000	-0.250000
0.602778	-0.250000
0.605556	-0.265000
0.608333	-0.260000
0.611111	-0.260000
0.613889	-0.265000
0.616667	-0.270000
0.619444	-0.265000
0.622222	-0.260000
0.625000	-0.275000
0.627778	-0.280000
0.630556	-0.290000
0.633333	-0.275000
0.636111	-0.270000
0.638889	-0.260000
0.641667	-0.280000
0.644444	-0.280000
0.647222	-0.285000
0.650000	-0.275000
0.652778	-0.275000
0.655556	-0.265000
0.658333	-0.270000
0.661111	-0.285000
0.663889	-0.290000
0.666667	-0.280000
0.669444	-0.275000
0.672222	-0.285000
0.675000	-0.280000
0.677778	-0.300000
0.680556	-0.300000
0.683333	-0.305000
0.686111	-0.295000
0.688889	-0.300000
0.691667	-0.310000
0.694444	-0.310000
0.697222	-0.305000
0.700000	-0.295000
0.702778	-0.285000
0.705556	-0.285000
0.708333	-0.290000
0.711111	-0.295000
0.713889	-0.310000
0.716667	-0.290000
0.719444	-0.295000
